Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date
Put,139,16.08%,19.15,19.25,19.35,17.61,1.22,7.44%,3,20,0.15,33.29%,09/04/2021
Put,140,16.91%,20.05,20.18,20.3,18.76,2.71,16.88%,6,328,0.02,0.00%,09/04/2021
Put,145,21.09%,25.05,25.15,25.25,24.95,1.56,6.67%,19,65,0.29,0.00%,09/04/2021
Put,150,25.26%,30.1,30.2,30.3,27.11,-2.74,-9.18%,1,36,0.03,0.00%,09/04/2021
Put,155,29.44%,35.05,35.15,35.25,34.8,3.49,11.15%,2,3,0.67,0.00%,09/04/2021
Put,160,33.61%,40.05,40.15,40.25,36.81,-1.44,-3.76%,14,402,0.03,0.00%,09/04/2021
Put,165,37.79%,45.1,45.2,45.3,42.35,42.35,unch,20,20,1,0.00%,09/04/2021
Put,170,41.96%,50.05,50.15,50.25,0,0,unch,0,0,0,0.00%,09/04/2021
Put,175,46.14%,55.05,55.15,55.25,55.15,55.15,unch,27,7,3.86,0.00%,09/04/2021
Put,180,50.31%,60.05,60.18,60.3,58.65,58.65,unch,1,1,1,0.00%,09/04/2021
